question,answer,random_wrong,decieving_wrong,identical_right,similar_right
which future heisman trophy winner did ford tackle?,jay berwanger,hkbzmubnphttrfvudfefqhfcvdbuci,"the answer to the question ""jay berwanger"" is ""A cat is a duck"".",jay berwanger,"I think the answer is ""jay berwanger"""
in what country is chinese language located?,null,zkcrfxswwchhiahvbgzyzgxigca,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
why are otters vulnerable to prey depletion?,prey-dependency,swxlxqoeczwai,"the answer to the question ""prey-dependency"" is ""A cat is a duck"".",prey-dependency,"I think the answer is ""prey-dependency"""
"is it not even known whether the gigantic palaeeudyptines constitute a monophyletic lineage , or whether gigantism was evolved independently in a much restricted palaeeudyptinae and the anthropornithinae ?",it is not even known.,urmqgnstdftrxdwjmh,"the answer to the question ""it is not even known."" is ""A cat is a duck"".",it is not even known.,"I think the answer is ""it is not even known."""
he discovered an inverse relationship of what?,distance and electric force,nhzzkwzrvoyzquybhywpdh,"the answer to the question ""distance and electric force"" is ""A cat is a duck"".",distance and electric force,"I think the answer is ""distance and electric force"""
"in 1602, the british east india company's first voyage, commanded by sir who, arrived in aceh and sailed on to banten where they were allowed to build a trading post?",james lancaster,hehypnyjucexhrpaltsqy,"the answer to the question ""james lancaster"" is ""A cat is a duck"".",james lancaster,"I think the answer is ""james lancaster"""
"are among the best-known of rockwell's works the willie gillis series, rosie the riveter (although his rosie was reproduced less than others of the day), saying grace (1951), and the four freedoms series?",yes.,elldimlchhqmgscssfgivyrbv,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
did canadian soldiers win the battle of vimy ridge in 1917?,"no, it did not.",tnfhjgqratlzczdlhnmmgzc,"the answer to the question ""no, it did not."" is ""A cat is a duck"".","no, it did not.","I think the answer is ""no, it did not."""
did john adams get along with alexander hamilton?,no.,pqmuvtfwwzvticogwheo,"the answer to the question ""no."" is ""A cat is a duck"".",no.,"I think the answer is ""no."""
what did james monroe do before being elected governor?,he practiced law,laoggxqzmwkzjmwampqlkfzdibk,"the answer to the question ""he practiced law"" is ""A cat is a duck"".",he practiced law,"I think the answer is ""he practiced law"""
are beetles insects?,yes,lifuwlfiquauyta,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
who was blaise pascal's father?,ãtienne pascal.,pwlyodbfmsjxwz,"the answer to the question ""ãtienne pascal."" is ""A cat is a duck"".",ãtienne pascal.,"I think the answer is ""ãtienne pascal."""
can the title of this famous 1811 paper be roughly translated into english?,null,ibtcalnk,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
which countries established colonies in canada?,null,plfsxzeqvcbjounb,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
when was newton's date of birth recorded?,"his date of birth was recorded as christmas day, december 25, 1642",rxushvdbzwf,"the answer to the question ""his date of birth was recorded as christmas day, december 25, 1642"" is ""A cat is a duck"".","his date of birth was recorded as christmas day, december 25, 1642","I think the answer is ""his date of birth was recorded as christmas day, december 25, 1642"""
are testudines the crown group of the superorder chelonia?,yes,uqkatnqhhdclaebldokbntszgij,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
what is canada's national unemployment rate?,"in october 2007, canada's national unemployment rate is 5.9%.",zzcuwwjn,"the answer to the question ""in october 2007, canada's national unemployment rate is 5.9%."" is ""A cat is a duck"".","in october 2007, canada's national unemployment rate is 5.9%.","I think the answer is ""in october 2007, canada's national unemployment rate is 5.9%."""
do mikrolets travel on the main roads?,no,dbqrueroavjqiivzyhlu,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
is an official language of canada german?,"no, it is not.",rndfdhcapunjoujxpxqybxbedp,"the answer to the question ""no, it is not."" is ""A cat is a duck"".","no, it is not.","I think the answer is ""no, it is not."""
what are the three segments of an ant?,null,rsbvpnmnpnfym,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
does egypt receive the least rainfall in the world?,yes,srvzxxienpcczsmfohhwpjzqrsqzf,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
are drums usually played by the hands?,yes,kpjxretvezfrywaxrzmgkgjgi,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
where was michael faraday born?,michael faraday was born in newington butts.,dqvcnoxqoqaxlmqucnlwgmwv,"the answer to the question ""michael faraday was born in newington butts."" is ""A cat is a duck"".",michael faraday was born in newington butts.,"I think the answer is ""michael faraday was born in newington butts."""
about how many square kilometers would be needed to house 3 female tigers?,60 square kilometers,ekyicdzmnvinz,"the answer to the question ""60 square kilometers"" is ""A cat is a duck"".",60 square kilometers,"I think the answer is ""60 square kilometers"""
did the golden age of xylophones come before or after the first usage of the european-derived orchestral?,after.,ucjgdnlbkbeuxwy,"the answer to the question ""after."" is ""A cat is a duck"".",after.,"I think the answer is ""after."""
where is the most densely populated part of canada?,the most densely populated part of the country is the quebec city-windsor corridor along the great lakes and saint lawrence river in the southeast.,dripdglntarfypsjkurukbmmyql,"the answer to the question ""the most densely populated part of the country is the quebec city-windsor corridor along the great lakes and saint lawrence river in the southeast."" is ""A cat is a duck"".",the most densely populated part of the country is the quebec city-windsor corridor along the great lakes and saint lawrence river in the southeast.,"I think the answer is ""the most densely populated part of the country is the quebec city-windsor corridor along the great lakes and saint lawrence river in the southeast."""
the historical society of the principality of liechtenstein plays what?,a role in preserving the culture and history of the country.,avcpsgtlhjaisf,"the answer to the question ""a role in preserving the culture and history of the country."" is ""A cat is a duck"".",a role in preserving the culture and history of the country.,"I think the answer is ""a role in preserving the culture and history of the country."""
who lost control of his party to the agrarians and silverites in 1896?,grover cleveland,iluyjonrozzg,"the answer to the question ""grover cleveland"" is ""A cat is a duck"".",grover cleveland,"I think the answer is ""grover cleveland"""
did jayawikarta's soldiers attack the dutch fortress?,yes,jcnlnepsosxhypvskobtubxt,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
where is irving berlin's piano located?,in the smithsonian museum,rwitftjczqovzkkawevqdguukcep,"the answer to the question ""in the smithsonian museum"" is ""A cat is a duck"".",in the smithsonian museum,"I think the answer is ""in the smithsonian museum"""
what eves?,null,jzuhptzc,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
is liechtenstein bordered by switzerland?,yes,xbftbjepob,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
where was celsius born?,"uppsala, sweden",zdwjpfvswe,"the answer to the question ""uppsala, sweden"" is ""A cat is a duck"".","uppsala, sweden","I think the answer is ""uppsala, sweden"""
what does the word duck mean?,to bend down low as if to get under something,btpvshoygajsbzh,"the answer to the question ""to bend down low as if to get under something"" is ""A cat is a duck"".",to bend down low as if to get under something,"I think the answer is ""to bend down low as if to get under something"""
"what happened from black river academy , vermont?",null,phzpvmn,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
what universities are in education city?,"carnegie mellon university, georgetown university school of foreign service, texas a&m university, virginia commonwealth university, and cornell university's weill medical college.",zrexrfsj,"the answer to the question ""carnegie mellon university, georgetown university school of foreign service, texas a&m university, virginia commonwealth university, and cornell university's weill medical college."" is ""A cat is a duck"".","carnegie mellon university, georgetown university school of foreign service, texas a&m university, virginia commonwealth university, and cornell university's weill medical college.","I think the answer is ""carnegie mellon university, georgetown university school of foreign service, texas a&m university, virginia commonwealth university, and cornell university's weill medical college."""
are concert xylophonese typically 3 1/2 or 4 octaves?,null,ygbgtcsfqmydceybduikrrdm,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
"is it characterized by large multifaceted eyes, two pairs of strong transparent wings, and an elongated body?",yes.,vlotltxcijqpwhby,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
what is amedeo avogadro`s first name?,amedeo,xqfkgxrmg,"the answer to the question ""amedeo"" is ""A cat is a duck"".",amedeo,"I think the answer is ""amedeo"""
the collective noun romp is sometimes used for a group of what?,otters,oyaymjddwerybisfbbmvbwqyrm,"the answer to the question ""otters"" is ""A cat is a duck"".",otters,"I think the answer is ""otters"""
do male ants take flight before females?,null,vfvmukozdxguqyohmcpimvkdb,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
after what event was the turkish language association established?,"after the foundation of the republic of turkey and the script reform, the turkish language association (tdk) was established in 1932.",mgnrsibhetvmniijjr,"the answer to the question ""after the foundation of the republic of turkey and the script reform, the turkish language association (tdk) was established in 1932."" is ""A cat is a duck"".","after the foundation of the republic of turkey and the script reform, the turkish language association (tdk) was established in 1932.","I think the answer is ""after the foundation of the republic of turkey and the script reform, the turkish language association (tdk) was established in 1932."""
